MOUSE_GENE_SYM	HUMAN_GENE_SYM
Rax	RAX
Nckap1	NCKAP1
Lrp12	LRP12
Pilra	PILRA
Rcan3	RCAN3
Stoml2	STOML2
St6galnac6	ST6GALNAC6
Mkrn2	MKRN2
Baz2a	BAZ2A
Baz2b	BAZ2B
Bcl2l10	BCL2L10
Dsc2	DSC2
Epb41l4a	EPB41L4A
Gpr162	GPR162
P3h3	P3H3
Grcc10	C12orf57
Cdca3	CDCA3
Spsb2	SPSB2
Hebp1	HEBP1
Hoxc4	HOXC4
Hoxd9	HOXD9
Ksr1	KSR1
Cog1	COG1
Mbd1	MBD1
Msh5	MSH5
Nodal	NODAL
Otog	OTOG
Pou5f1	POU5F1
Ptpn5	PTPN5
Sema4a	SEMA4A
Sema4b	SEMA4B
Sema5b	SEMA5B
Sema6b	SEMA6B
Snap91	SNAP91
Surf2	SURF2
Tcp11	TCP11
Tcte1	TCTE1
Ubp1	UBP1
Fgd2	FGD2
Krtap15	KRTAP15-1
B9d1	B9D1
Nrk	NRK
Azi2	AZI2
Mixl1	MIXL1
Sgk2	SGK2
Plek2	PLEK2
Dok3	DOK3
Plekhb1	PLEKHB1
Clnk	CLNK
Tnfrsf12a	TNFRSF12A
Plaat1	PLAAT1
Pald1	PALD1
Sytl4	SYTL4
Msrb1	MSRB1
Dguok	DGUOK
Tjp3	TJP3
Magel2	MAGEL2
Npas3	NPAS3
Ptdss2	PTDSS2
Nagpa	NAGPA
Dbnl	DBNL
Galnt1	GALNT1
Plcb4	PLCB4
Gcat	GCAT
Znhit2	ZNHIT2
Limd1	LIMD1
Zfp385a	ZNF385A
Hspb7	HSPB7
Tnfrsf19	TNFRSF19
Smtn	SMTN
Cabp5	CABP5
Cabp2	CABP2
Gtse1	GTSE1
Clic4	CLIC4
Dnajc12	DNAJC12
Zfp292	ZNF292
Heyl	HEYL
Fbxw5	FBXW5
Apln	APLN
Angptl3	ANGPTL3
Snai3	SNAI3
Rnf19a	RNF19A
Ddah2	DDAH2
Dhx38	DHX38
Zbtb43	ZBTB43
Ccdc22	CCDC22
Foxp3	FOXP3
Dexi	DEXI
Lamtor2	LAMTOR2
Mrps28	MRPS28
Tmem176b	TMEM176B
Ssx2ip	SSX2IP
Asf1a	ASF1A
Snx24	SNX24
Bzw2	BZW2
4931406C07Rik	C11orf54
Chmp2b	CHMP2B
Lrp10	LRP10
D8Ertd738e	C19orf53
Acad9	ACAD9
Tmem14c	TMEM14C
Ogn	OGN
Tmprss11e	TMPRSS11E
Rgcc	RGCC
Mageh1	MAGEH1
Commd5	COMMD5
Macrod1	MACROD1
Klf15	KLF15
Ppp1r8	PPP1R8
Trps1	TRPS1
Smarcal1	SMARCAL1
Cd274	CD274
Tmem230	TMEM230
Wdr91	WDR91
Zc3h7a	ZC3H7A
Mrpl18	MRPL18
Med4	MED4
Mettl5	METTL5
Cript	CRIPT
Phpt1	PHPT1
Babam1	BABAM1
Thyn1	THYN1
Stxbp6	STXBP6
Lgalsl	LGALSL
Commd9	COMMD9
Itpk1	ITPK1
Slc6a7	SLC6A7
Adamts3	ADAMTS3
Adamts2	ADAMTS2
Rxylt1	RXYLT1
Sycp2	SYCP2
Ticam1	TICAM1
1110004F10Rik	C11orf58
Adam29	ADAM29
Il1rapl1	IL1RAPL1
Adamts15	ADAMTS15
Mgat4b	MGAT4B
Olfm1	OLFM1
Puf60	PUF60
Habp4	HABP4
Itgb3bp	ITGB3BP
Tdrd7	TDRD7
Cbx6	CBX6
Nptxr	NPTXR
Tram1	TRAM1
Ethe1	ETHE1
Qprt	QPRT
Sec11c	SEC11C
Pik3r5	PIK3R5
Rasd2	RASD2
Smug1	SMUG1
Vsig2	VSIG2
Klhdc2	KLHDC2
Carhsp1	CARHSP1
Lemd3	LEMD3
Hebp2	HEBP2
Orc6	ORC6
Patz1	PATZ1
Ppp1r15a	PPP1R15A
Smpx	SMPX
Cadm1	CADM1
Ppil2	PPIL2
Mtch2	MTCH2
Cldn15	CLDN15
Zfp324	ZNF324
Tnfaip8	TNFAIP8
Optc	OPTC
Hspb8	HSPB8
Fam162a	FAM162A
Akap8l	AKAP8L
Gpr160	GPR160
Fetub	FETUB
Zbtb32	ZBTB32
Acad8	ACAD8
Pelp1	PELP1
Snd1	SND1
Stau2	STAU2
Ghitm	GHITM
Lamp3	LAMP3
Tspan13	TSPAN13
Lypd3	LYPD3
Cacng4	CACNG4
Taf5l	TAF5L
Zbtb11	ZBTB11
Bbc3	BBC3
Dkk4	DKK4
Dkk2	DKK2
Inpp5j	INPP5J
Aff4	AFF4
Il20ra	IL20RA
Naaa	NAAA
Il1f6	IL36A
Il17b	IL17B
Tubgcp4	TUBGCP4
Serp1	SERP1
Arfip1	ARFIP1
Sit1	SIT1
Tnfrsf21	TNFRSF21
Sesn1	SESN1
Klhl20	KLHL20
Pcdh17	PCDH17
Csdc2	CSDC2
Cntn6	CNTN6
Srpx2	SRPX2
Rnd1	RND1
R3hcc1l	R3HCC1L
Smpdl3b	SMPDL3B
Dhdh	DHDH
Adamdec1	ADAMDEC1
Zfp330	ZNF330
Golim4	GOLIM4
P2ry10	P2RY10
Rabgef1	RABGEF1
Kcnmb4	KCNMB4
Sh3bp4	SH3BP4
Tmod3	TMOD3
Card10	CARD10
Tfcp2l1	TFCP2L1
Senp1	SENP1
Galnt5	GALNT5
Zkscan5	ZKSCAN5
Arfgap2	ARFGAP2
Ero1lb	ERO1B
Hunk	HUNK
Vsx1	VSX1
Nt5c	NT5C
Tax1bp3	TAX1BP3
Fam120a	FAM120A
Faf2	FAF2
Brinp1	BRINP1
Zfp592	ZNF592
Mical2	MICAL2
Mtfr1	MTFR1
Ttll4	TTLL4
Iqcb1	IQCB1
Lpin2	LPIN2
Dzip3	DZIP3
Phf14	PHF14
Fam53b	FAM53B
Greb1	GREB1
Ube3c	UBE3C
Emc2	EMC2
Cep57	CEP57
St18	ST18
4931406P16Rik	KIAA0355
Fam131b	FAM131B
Adamtsl2	ADAMTSL2
Zfp646	ZNF646
Rab11fip4	RAB11FIP4
9330159F19Rik	KIAA0408
Dcaf1	DCAF1
Gprasp1	GPRASP1
Ccp110	CCP110
Arhgap32	ARHGAP32
Zfp536	ZNF536
Clstn1	CLSTN1
Tcaf1	TCAF1
Phactr2	PHACTR2
Snph	SNPH
Tbkbp1	TBKBP1
Tox	TOX
Mlec	MLEC
Lzts3	LZTS3
6430548M08Rik	KIAA0513
Zfyve16	ZFYVE16
Pclaf	PCLAF
Tmem94	TMEM94
Bclaf1	BCLAF1
Tbc1d5	TBC1D5
Rims3	RIMS3
Snx17	SNX17
2700049A03Rik	KIAA0586
Dlgap5	DLGAP5
Mtss1	MTSS1
Spcs2	SPCS2
Sertad2	SERTAD2
Ckap5	CKAP5
Maml1	MAML1
Snx19	SNX19
Phyhip	PHYHIP
Tatdn2	TATDN2
Ist1	IST1
Dhcr24	DHCR24
Mrpl19	MRPL19
Scrn1	SCRN1
Spock2	SPOCK2
Rnf40	RNF40
Efcab14	EFCAB14
Urb2	URB2
Tsc22d2	TSC22D2
Arhgap11a	ARHGAP11A
Rgp1	RGP1
Dnajc6	DNAJC6
Jakmip2	JAKMIP2
Zeb2	ZEB2
Zbtb24	ZBTB24
Plekhm1	PLEKHM1
C2cd5	C2CD5
4933427D14Rik	KIAA0753
Epm2aip1	EPM2AIP1
C2cd2l	C2CD2L
Farp2	FARP2
D130043K22Rik	KIAA0319
Cep350	CEP350
Lrig2	LRIG2
Arel1	AREL1
Fchsd2	FCHSD2
Zc3h11a	ZC3H11A
Tox4	TOX4
Zbtb39	ZBTB39
Rhobtb1	RHOBTB1
Plppr4	PLPPR4
Nuak1	NUAK1
Tecpr2	TECPR2
Washc5	WASHC5
Klhl21	KLHL21
Tmcc2	TMCC2
Supt7l	SUPT7L
Chst15	CHST15
Fam20b	FAM20B
Zbtb40	ZBTB40
Zbtb5	ZBTB5
Lpgat1	LPGAT1
Mfn2	MFN2
Kif14	KIF14
Helz	HELZ
Cd302	CD302
Dclre1a	DCLRE1A
Sugp2	SUGP2
Fam3c	FAM3C
Pdap1	PDAP1
Scaf8	SCAF8
Cep162	CEP162
Rhobtb3	RHOBTB3
Cobll1	COBLL1
Rnf44	RNF44
Dlgap4	DLGAP4
Rab11fip2	RAB11FIP2
Frmpd1	FRMPD1
Dolk	DOLK
Vash1	VASH1
Zfp507	ZNF507
Adnp2	ADNP2
Lmtk2	LMTK2
Ntng1	NTNG1
Chsy1	CHSY1
Adgrl1	ADGRL1
Fndc3a	FNDC3A
R3hdm2	R3HDM2
Slitrk3	SLITRK3
Cnksr2	CNKSR2
Fastkd2	FASTKD2
Inpp5f	INPP5F
Morc2a	MORC2
Ankrd6	ANKRD6
Zhx2	ZHX2
Spast	SPAST
Ubox5	UBOX5
Zbtb1	ZBTB1
Zfp365	ZNF365
Bahd1	BAHD1
Arsg	ARSG
Sbno2	SBNO2
Wdr47	WDR47
Sorcs3	SORCS3
Pcnx2	PCNX2
Rab21	RAB21
Exosc7	EXOSC7
Tmcc1	TMCC1
Usp33	USP33
Wdtc1	WDTC1
Zhx3	ZHX3
Emc1	EMC1
Cmtr1	CMTR1
Hecw1	HECW1
Mycbp2	MYCBP2
Pprc1	PPRC1
Exph5	EXPH5
Zfp423	ZNF423
Ttll5	TTLL5
Sarm1	SARM1
Tab2	TAB2
Hic2	HIC2
Camta2	CAMTA2
Pogz	POGZ
Nphp4	NPHP4
Zzef1	ZZEF1
Dcun1d5	DCUN1D5
Zc3h3	ZC3H3
Fcho2	FCHO2
Clcc1	CLCC1
Mprip	MPRIP
Stab1	STAB1
Ttll12	TTLL12
Zcchc14	ZCCHC14
Pask	PASK
Rgl1	RGL1
Phf3	PHF3
Acsbg1	ACSBG1
Trim9	TRIM9
Jmjd6	JMJD6
Fbxo28	FBXO28
Plcl2	PLCL2
Arhgef9	ARHGEF9
Sel1l3	SEL1L3
Dnajc9	DNAJC9
Arc	ARC
Tmem131l	TMEM131L
Cobl	COBL
Ankrd12	ANKRD12
Dnmbp	DNMBP
Tasor	TASOR
Cluh	CLUH
Arap2	ARAP2
Adgrf5	ADGRF5
Agtpbp1	AGTPBP1
Anks1	ANKS1A
Cyld	CYLD
Bicd2	BICD2
Kif13b	KIF13B
Trim71	TRIM71
Synm	SYNM
Jade2	JADE2
Trim37	TRIM37
Fnbp4	FNBP4
Arhgef12	ARHGEF12
Larp1	LARP1
Ppp1r13b	PPP1R13B
Ufl1	UFL1
Smg5	SMG5
Nudcd3	NUDCD3
Asxl1	ASXL1
Ppwd1	PPWD1
Ctdnep1	CTDNEP1
Zfyve26	ZFYVE26
Lrrc8b	LRRC8B
Pofut1	POFUT1
R3hdm1	R3HDM1
Ly96	LY96
Bcl2l13	BCL2L13
Hephl1	HEPHL1
Sun2	SUN2
Bri3	BRI3
Hectd1	HECTD1
Mob4	MOB4
Yipf3	YIPF3
Tecpr1	TECPR1
Armc8	ARMC8
Brms1l	BRMS1L
Hdac7	HDAC7
Abhd14b	ABHD14B
Nepro	NEPRO
Letmd1	LETMD1
Tmem186	TMEM186
Aasdhppt	AASDHPPT
Pamr1	PAMR1
Trim58	TRIM58
Ints7	INTS7
Kansl1	KANSL1
Tmem158	TMEM158
Ahctf1	AHCTF1
Dpcd	DPCD
Zdhhc5	ZDHHC5
Mtmr9	MTMR9
Atl3	ATL3
Myrip	MYRIP
Zfp521	ZNF521
Cnrip1	CNRIP1
Sostdc1	SOSTDC1
Gemin5	GEMIN5
Rab11fip5	RAB11FIP5
Wwtr1	WWTR1
Samhd1	SAMHD1
Tpgs2	TPGS2
Nectin3	NECTIN3
Kank2	KANK2
Tmem87a	TMEM87A
Egfl6	EGFL6
Tiparp	TIPARP
Necap2	NECAP2
Aar2	AAR2
Krt23	KRT23
Hinfp	HINFP
Clip3	CLIP3
Tbc1d10b	TBC1D10B
Gorasp2	GORASP2
Polr2m	POLR2M
Zzz3	ZZZ3
Tmem98	TMEM98
Zfp451	ZNF451
Sipa1l1	SIPA1L1
Ss18l1	SS18L1
Setbp1	SETBP1
Slitrk5	SLITRK5
Ppp1r16b	PPP1R16B
Senp6	SENP6
Rai14	RAI14
Poldip2	POLDIP2
Gpatch4	GPATCH4
Arhgef26	ARHGEF26
Pgm3	PGM3
Tor1aip1	TOR1AIP1
Ccdc9	CCDC9
Dcaf4	DCAF4
Szrd1	SZRD1
Lrit1	LRIT1
Wsb1	WSB1
Ldlrap1	LDLRAP1
Tctn3	TCTN3
Fgfr1op2	FGFR1OP2
Kif1bp	KIFBP
Trpc4ap	TRPC4AP
Zbtb20	ZBTB20
C1qtnf5	C1QTNF5
Ribc2	RIBC2
Nat9	NAT9
Aaas	AAAS
Mtg2	MTG2
Senp3	SENP3
Cnppd1	CNPPD1
Sdcbp2	SDCBP2
Erlec1	ERLEC1
Mmadhc	MMADHC
Sgsm3	SGSM3
Bicra	BICRA
Pla2g3	PLA2G3
Cd207	CD207
Col5a3	COL5A3
Podxl2	PODXL2
Caly	CALY
Rbp3	RBP3
Sufu	SUFU
Shroom3	SHROOM3
Lpin1	LPIN1
Prok2	PROK2
Sall2	SALL2
Fbh1	FBH1
Fbxo16	FBXO16
Fbxo6	FBXO6
Hs6st2	HS6ST2
Fbxl8	FBXL8
Dmrt1	DMRT1
Adar	ADAR
Ubxn1	UBXN1
Ripor2	RIPOR2
Slc14a1	SLC14A1
Mbtps2	MBTPS2
Hook1	HOOK1
Prlh	PRLH
Gmnn	GMNN
Zmynd10	ZMYND10
Pla1a	PLA1A
Ubr5	UBR5
Trim33	TRIM33
Srrt	SRRT
Wdpcp	WDPCP
Zfp691	ZNF691
Txndc11	TXNDC11
Atl1	ATL1
Calhm2	CALHM2
Cuta	CUTA
Lsr	LSR
Mterf3	MTERF3
Amdhd2	AMDHD2
Slc35b3	SLC35B3
Nosip	NOSIP
Tmx2	TMX2
Cutc	CUTC
Mrps17	MRPS17
Mrps7	MRPS7
Cryl1	CRYL1
Uchl5	UCHL5
Crlf3	CRLF3
Pllp	PLLP
Rrnad1	RRNAD1
Trnt1	TRNT1
Sccpdh	SCCPDH
Ift52	IFT52
Dync2li1	DYNC2LI1
Sh3glb1	SH3GLB1
Zc2hc1a	ZC2HC1A
Phf20l1	PHF20L1
Tfb1m	TFB1M
Aph1a	APH1A
Lactb2	LACTB2
Dhrs7	DHRS7
Rtraf	RTRAF
Derl2	DERL2
Exosc1	EXOSC1
Sf3b6	SF3B6
Isoc1	ISOC1
Washc3	WASHC3
Copz1	COPZ1
Ppil1	PPIL1
Med31	MED31
Mrps16	MRPS16
Mrps18c	MRPS18C
Vps36	VPS36
Glod4	GLOD4
Styxl1	STYXL1
Rbm7	RBM7
Eif3l	EIF3L
Commd2	COMMD2
Mpc1	MPC1
Golga7	GOLGA7
Trim17	TRIM17
Asb1	ASB1
Asb4	ASB4
Kctd3	KCTD3
Cep83	CEP83
Saraf	SARAF
Insig2	INSIG2
Cpq	CPQ
Dync1li1	DYNC1LI1
Commd10	COMMD10
Ubac1	UBAC1
Oaz3	OAZ3
Slc45a2	SLC45A2
Serpina10	SERPINA10
Crnn	CRNN
Tmeff2	TMEFF2
Kif20b	KIF20B
Lsm8	LSM8
Amotl2	AMOTL2
Pdgfc	PDGFC
Trappc2l	TRAPPC2L
6430571L13Rik	C3orf18
Trip4	TRIP4
Egfl7	EGFL7
Dbr1	DBR1
Dctn4	DCTN4
Ddx41	DDX41
Vps29	VPS29
Gprc5b	GPRC5B
Scara3	SCARA3
Emcn	EMCN
Impg2	IMPG2
Hpcal4	HPCAL4
Tubd1	TUBD1
Fzr1	FZR1
Vgll1	VGLL1
Rnf138	RNF138
Tob2	TOB2
Plekho1	PLEKHO1
Cdh9	CDH9
Cnot1	CNOT1
Uimc1	UIMC1
Trap1	TRAP1
Pcyox1	PCYOX1
Fbxo40	FBXO40
Crbn	CRBN
Rsl24d1	RSL24D1
Dnajb11	DNAJB11
Gulp1	GULP1
Rhbg	RHBG
Upb1	UPB1
Sfmbt1	SFMBT1
Zfp639	ZNF639
Plce1	PLCE1
Nat8	NAT8
Slco4a1	SLCO4A1
Dcdc2a	DCDC2
Lima1	LIMA1
Irx4	IRX4
Ghrl	GHRL
Gp6	GP6
Cldn18	CLDN18
Ankfy1	ANKFY1
Cd244a	CD244
Hacd3	HACD3
Nelfcd	NELFCD
Hypk	HYPK
Cwc15	CWC15
Ufc1	UFC1
Rtf2	RTF2
Cdk5rap1	CDK5RAP1
Rnf141	RNF141
Zfp219	ZNF219
Abi3	ABI3
Phf20	PHF20
Higd1b	HIGD1B
Vrk3	VRK3
Crim1	CRIM1
Mpp5	MPP5
Nckipsd	NCKIPSD
Tmem9	TMEM9
Prkd2	PRKD2
Cxxc5	CXXC5
Tmem138	TMEM138
Ankrd39	ANKRD39
Cox16	COX16
Oser1	OSER1
Gskip	GSKIP
Ccdc174	CCDC174
Jkamp	JKAMP
Pdzd11	PDZD11
Tmem69	TMEM69
Pphln1	PPHLN1
Nt5c3	NT5C3A
Mrpl37	MRPL37
Rnf181	RNF181
Tbc1d7	TBC1D7
March2	MARCHF2
Tmem216	TMEM216
Pbdc1	PBDC1
Mrpl27	MRPL27
Scly	SCLY
Clec1a	CLEC1A
BC005624	C9orf78
Syt17	SYT17
Ubap1	UBAP1
Ninj2	NINJ2
Dnajc27	DNAJC27
C1rl	C1RL
Tm7sf3	TM7SF3
Ankmy1	ANKMY1
Pex5l	PEX5L
Bfar	BFAR
Rasl12	RASL12
Coa4	COA4
Rxfp3	RXFP3
Lgsn	LGSN
Gmip	GMIP
Nt5dc3	NT5DC3
Cd320	CD320
Pcdh12	PCDH12
Mbip	MBIP
Nrn1	NRN1
Timmdc1	TIMMDC1
Cyp39a1	CYP39A1
Fkbp11	FKBP11
Zdhhc3	ZDHHC3
Myoz2	MYOZ2
Fam13b	FAM13B
Fam53c	FAM53C
Armcx3	ARMCX3
Armcx1	ARMCX1
Gask1b	GASK1B
Tdp2	TDP2
Slc6a13	SLC6A13
Nme8	NME8
Ufm1	UFM1
Krcc1	KRCC1
Phf21a	PHF21A
Mrpl35	MRPL35
Fam49b	FAM49B
Mex3c	MEX3C
Spg21	SPG21
Paxbp1	PAXBP1
Arl6ip4	ARL6IP4
Mrps30	MRPS30
Dact1	DACT1
Syt3	SYT3
Sntb1	SNTB1
Cntfr	CNTFR
Cldn1	CLDN1
Cldn2	CLDN2
Reck	RECK
Incenp	INCENP
Clec4f	CLEC4F
Dnajc5	DNAJC5
Bok	BOK
Mzf1	MZF1
Banp	BANP
Rbms1	RBMS1
Acrbp	ACRBP
Rab33b	RAB33B
Pdlim1	PDLIM1
Hif3a	HIF3A
Deaf1	DEAF1
Cldn7	CLDN7
Fut8	FUT8
Timm23	TIMM23
Spint1	SPINT1
Rwdd2b	RWDD2B
Stx18	STX18
Ubn1	UBN1
Tas2r118	TAS2R16
Pard6a	PARD6A
Spock3	SPOCK3
Cklf	CKLF
Tbx22	TBX22
Olig1	OLIG1
Myadm	MYADM
Gja3	GJA3
Ogt	OGT
Mrpl39	MRPL39
Hoxc10	HOXC10
Il1rapl2	IL1RAPL2
Coq3	COQ3
Galnt7	GALNT7
Ptov1	PTOV1
Duox2	DUOX2
A4galt	A4GALT
Mdm1	MDM1
Pole3	POLE3
D16Ertd472e	C21orf91
Baiap2	BAIAP2
Enam	ENAM
Ubqln3	UBQLN3
Fev	FEV
Cnot11	CNOT11
Foxred1	FOXRED1
Epdr1	EPDR1
Fndc8	FNDC8
Il17rd	IL17RD
Fam20a	FAM20A
Nagk	NAGK
Zranb1	ZRANB1
Chrna9	CHRNA9
Ube2q1	UBE2Q1
Trim44	TRIM44
Miox	MIOX
Btg4	BTG4
Zc3h7b	ZC3H7B
Nkiras2	NKIRAS2
Vezt	VEZT
Rnf111	RNF111
Nsmce4a	NSMCE4A
Rnpc3	RNPC3
Alkbh4	ALKBH4
Dnajb12	DNAJB12
Cdkn2aip	CDKN2AIP
Kctd9	KCTD9
Med18	MED18
Carmil1	CARMIL1
Haus6	HAUS6
Cnnm2	CNNM2
Ahi1	AHI1
Aftph	AFTPH
Qpctl	QPCTL
Gatad2a	GATAD2A
Trpm6	TRPM6
Ankrd10	ANKRD10
Zfp280c	ZNF280C
Fermt1	FERMT1
Trpm7	TRPM7
Bcas3	BCAS3
Bspry	BSPRY
Lrrc49	LRRC49
Bivm	BIVM
Mfsd6	MFSD6
Esrp1	ESRP1
Ankrd49	ANKRD49
Paqr5	PAQR5
Wdr55	WDR55
Fam83e	FAM83E
Gdpd2	GDPD2
Pgpep1	PGPEP1
Elp6	ELP6
Tasp1	TASP1
Snrk	SNRK
Stap2	STAP2
Ppp1r14d	PPP1R14D
Tmem214	TMEM214
Tmem104	TMEM104
Qrich1	QRICH1
Palmd	PALMD
Cntln	CNTLN
Pomgnt1	POMGNT1
Zcchc2	ZCCHC2
Bcor	BCOR
Smpd4	SMPD4
Plppr1	PLPPR1
Uhrf1bp1	UHRF1BP1
Nsun2	NSUN2
Alkbh5	ALKBH5
Ino80d	INO80D
Ncapg2	NCAPG2
Pnrc2	PNRC2
Mtmr10	MTMR10
Casz1	CASZ1
Lrrc40	LRRC40
Pxk	PXK
Cdkal1	CDKAL1
Ttc19	TTC19
Mks1	MKS1
Depdc1a	DEPDC1
Spdl1	SPDL1
Sybu	SYBU
Wbp1l	WBP1L
Flvcr2	FLVCR2
Focad	FOCAD
Ythdf1	YTHDF1
Cmtm6	CMTM6
Rasip1	RASIP1
Chchd3	CHCHD3
Impad1	IMPAD1
Tmem161a	TMEM161A
Haus4	HAUS4
Rab20	RAB20
Wrap73	WRAP73
Trmt10c	TRMT10C
March5	MARCHF5
Adprhl2	ADPRHL2
Sohlh2	CCDC169-SOHLH2
Commd4	COMMD4
Ociad1	OCIAD1
Dnajc28	DNAJC28
Slc41a2	SLC41A2
Lpcat1	LPCAT1
Mrpl16	MRPL16
Commd8	COMMD8
Fam120c	FAM120C
Tmem127	TMEM127
Parp16	PARP16
Txnl4b	TXNL4B
Tmem160	TMEM160
Gemin8	GEMIN8
Gm128	C1orf56
Pigx	PIGX
Ints8	INTS8
Zfp692	ZNF692
Tmem70	TMEM70
Ints11	INTS11
Asb6	ASB6
Slc35f6	SLC35F6
C87436	C2orf42
Cln6	CLN6
Wdr13	WDR13
Hcfc1r1	HCFC1R1
Marc2	MARC2
Tpcn1	TPCN1
Hif1an	HIF1AN
Lamtor1	LAMTOR1
Zfp446	ZNF446
Fam118a	FAM118A
Cdc37l1	CDC37L1
Pih1d1	PIH1D1
Ppp2r3c	PPP2R3C
Mcu	MCU
Stx17	STX17
1700123O20Rik	C14orf119
Pex26	PEX26
Pid1	PID1
Bank1	BANK1
Tmem255a	TMEM255A
D11Wsu47e	C17orf80
Usp47	USP47
Slc35a5	SLC35A5
Mocos	MOCOS
Cuedc1	CUEDC1
Cdca4	CDCA4
Plekhb2	PLEKHB2
Mrpl20	MRPL20
Gpatch2l	GPATCH2L
Zcwpw1	ZCWPW1
Pdpr	PDPR
Kansl3	KANSL3
Tmem248	TMEM248
Det1	DET1
Mreg	MREG
Fezf2	FEZF2
Tapbpl	TAPBPL
Arglu1	ARGLU1
Radx	RADX
Ccdc186	CCDC186
Tmem51	TMEM51
Yeats2	YEATS2
Wdyhv1	WDYHV1
Pacs1	PACS1
Frmd4a	FRMD4A
Wdr70	WDR70
Dmac2	DMAC2
Atg2b	ATG2B
Gpatch2	GPATCH2
Arhgap17	ARHGAP17
Tmem39a	TMEM39A
Prpf38b	PRPF38B
Fancl	FANCL
Akirin2	AKIRIN2
Trim68	TRIM68
Armc4	ARMC4
Srbd1	SRBD1
Wrap53	WRAP53
Zfp358	ZNF358
Haus2	HAUS2
Efhc1	EFHC1
Lrrc8d	LRRC8D
Thap1	THAP1
Zdhhc4	ZDHHC4
Mtpap	MTPAP
Dok4	DOK4
Tmem38b	TMEM38B
Lmbr1l	LMBR1L
Armc1	ARMC1
Arhgef10l	ARHGEF10L
Tmem33	TMEM33
Cep55	CEP55
Msl2	MSL2
Prmt6	PRMT6
Dnaaf2	DNAAF2
Cep72	CEP72
Mrps10	MRPS10
Ints10	INTS10
Klhl11	KLHL11
Mrm3	MRM3
Lins1	LINS1
Rnf220	RNF220
Dzank1	DZANK1
Slc25a36	SLC25A36
Ints13	INTS13
Pbrm1	PBRM1
Appl2	APPL2
Map1s	MAP1S
Lgi2	LGI2
Atf7ip	ATF7IP
Fam222b	FAM222B
Sbno1	SBNO1
Arl8b	ARL8B
BC055324	C1orf112
Atad3a	ATAD3A
Rcbtb1	RCBTB1
P3h2	P3H2
Exd2	EXD2
Tbc1d13	TBC1D13
Klhdc8a	KLHDC8A
Ckap2	CKAP2
Trim62	TRIM62
Etnk2	ETNK2
Pnmal1	PNMA8A
Edem2	EDEM2
Mob1a	MOB1A
Parva	PARVA
Chfr	CHFR
Smu1	SMU1
Uba6	UBA6
Ap5m1	AP5M1
Steap3	STEAP3
Cndp2	CNDP2
Ccar1	CCAR1
Kirrel	KIRREL1
Neil3	NEIL3
Ints9	INTS9
Pacc1	PACC1
Wdr12	WDR12
Pcmtd2	PCMTD2
Ttc17	TTC17
Asxl2	ASXL2
Inava	INAVA
Mrgbp	MRGBP
Tmem143	TMEM143
Map11	MAP11
Tmem19	TMEM19
Pspc1	PSPC1
Nudt15	NUDT15
Tmem100	TMEM100
Phf10	PHF10
Zfp654	ZNF654
Tmem140	TMEM140
Ngly1	NGLY1
Mcoln3	MCOLN3
Ube2w	UBE2W
Rbm41	RBM41
Exoc2	EXOC2
Prr11	PRR11
Tmem40	TMEM40
Tbc1d23	TBC1D23
Brf2	BRF2
Tbc1d19	TBC1D19
Ccdc91	CCDC91
Rnf121	RNF121
Brix1	BRIX1
Olah	OLAH
C9orf72	C9orf72
Zfp444	ZNF444
Cpped1	CPPED1
Cmtr2	CMTR2
Tma16	TMA16
Mis18bp1	MIS18BP1
Tmem74b	TMEM74B
6030458C11Rik	C5orf22
Ufsp2	UFSP2
Agpat5	AGPAT5
Rsbn1	RSBN1
Bloc1s4	BLOC1S4
Lmbrd1	LMBRD1
Depdc1b	DEPDC1B
Lrif1	LRIF1
Synj2bp	SYNJ2BP
Ddx28	DDX28
Shfl	SHFL
Pcid2	PCID2
Abhd10	ABHD10
Mettl2	METTL2A
Scn3b	SCN3B
Dcp1a	DCP1A
Adap2	ADAP2
Coprs	COPRS
Laptm4b	LAPTM4B
Lrp2bp	LRP2BP
Hjurp	HJURP
St7	ST7
Foxj2	FOXJ2
Adcy10	ADCY10
Spata7	SPATA7
Tbc1d2	TBC1D2
Tsnaxip1	TSNAXIP1
Dok5	DOK5
Kdm3a	KDM3A
Pag1	PAG1
Dcaf6	DCAF6
Selenos	SELENOS
Cand1	CAND1
Cenpj	CENPJ
Eapp	EAPP
Nusap1	NUSAP1
Eaf2	EAF2
Brk1	BRK1
Itfg2	ITFG2
Cisd1	CISD1
Plgrkt	PLGRKT
Use1	USE1
Fam45a	DENND10
Kiz	KIZ
Actr10	ACTR10
Tmem126b	TMEM126B
Tmem176a	TMEM176A
Ash1l	ASH1L
Lgr4	LGR4
Lrrc59	LRRC59
Ncbp3	NCBP3
Gabrq	GABRQ
Gpalpp1	GPALPP1
Usp49	USP49
Ap1ar	AP1AR
Stradb	STRADB
Camk2n1	CAMK2N1
Parl	PARL
Etnk1	ETNK1
Trem1	TREM1
Macroh2a2	MACROH2A2
Gprc5d	GPRC5D
Lenep	LENEP
Mynn	MYNN
Cytl1	CYTL1
Zfp395	ZNF395
Disc1	DISC1
Smpd3	SMPD3
Vps33b	VPS33B
Abca5	ABCA5
Thsd1	THSD1
Rnf114	RNF114
Zc4h2	ZC4H2
Cemip	CEMIP
Fam114a2	FAM114A2
Elac1	ELAC1
